metro_area,total_workers,car_truck_or_van,drove_alone,carpooled,public_transportation,bus,long_distance_train_or_commuter_rail,light_rail_streetcar_or_trolley,ferryboat,taxicab,motorcycle,bicycle,walked,other_means,worked_from_home,other_aggregate,worked_from_home_extended,metro_area_id,year
"Cincinnati, OH-KY-IN Metro Area",1075297,970752,885083,85669,68024,11309,6336,19054,18775,118,31,70,60,1784,21727,8688,53292,17140,2019
"Clarksburg, WV Micro Area",39433,36664,33261,3403,2764,486,153,205,198,0,7,0,0,14,808,418,1324,17220,2019
"Clarksdale, MS Micro Area",7756,7033,6003,1030,727,200,103,49,49,0,0,0,0,0,362,31,281,17260,2019
"Clarksville, TN-KY Metro Area",135570,124916,113903,11013,8291,1553,1169,905,895,10,0,0,0,99,4224,1796,3630,17300,2019
"Clearlake, CA Micro Area",23281,18858,16028,2830,2248,244,338,163,162,1,0,0,0,28,772,145,3315,17340,2019
"Cleveland, MS Micro Area",10529,9857,8864,993,754,132,107,0,0,0,0,0,0,0,298,149,225,17380,2019
"Cleveland, TN Metro Area",55134,51446,45662,5784,4707,734,343,92,92,0,0,0,0,77,838,662,2019,17420,2019
"Cleveland-Elyria, OH Metro Area",977422,870771,795950,74821,58261,9586,6974,29258,25958,1853,519,798,130,2801,21303,10024,43265,17460,2019
"Clewiston, FL Micro Area",17246,13583,10789,2794,1100,721,973,1146,1146,0,0,0,0,167,716,868,766,17500,2019
"Clinton, IA Micro Area",21648,19578,17919,1659,1346,239,74,127,127,0,0,0,0,38,521,210,1174,17540,2019
"Clovis, NM Micro Area",22315,21222,18672,2550,1826,445,279,37,37,0,0,0,0,98,429,244,285,17580,2019
"Coamo, PR Micro Area",10928,10200,10057,143,81,30,32,9,0,0,0,9,0,0,417,38,264,17620,2019
"Coco, PR Micro Area",7674,7324,7008,316,270,7,39,12,0,0,0,12,0,33,176,0,129,17640,2019
"Coeur d'Alene, ID Metro Area",71889,64804,58118,6686,5203,808,675,230,219,0,0,0,11,315,1400,741,4399,17660,2019
"Coffeyville, KS Micro Area",14342,13075,11393,1682,1295,159,228,0,0,0,0,0,0,20,609,215,423,17700,2019
"Coldwater, MI Micro Area",18277,17004,15125,1879,1410,281,188,68,49,0,19,0,0,69,278,231,627,17740,2019
"College Station-Bryan, TX Metro Area",119122,107795,95079,12716,9634,1722,1360,2025,1975,0,15,0,35,1588,2258,1238,4218,17780,2019
"Colorado Springs, CO Metro Area",357486,312665,275340,37325,28129,5943,3253,2481,2268,113,0,56,44,1597,12286,3472,24985,17820,2019
"Columbia, MO Metro Area",104134,93267,82140,11127,9706,750,671,880,859,0,0,21,0,830,3472,959,4726,17860,2019
"Columbia, SC Metro Area",393169,351162,317184,33978,26413,4528,3037,2810,2515,55,8,150,82,456,17278,7320,14143,17900,2019
"Columbus, GA-AL Metro Area",136435,122163,109560,12603,9482,1770,1351,1188,1086,15,57,30,0,320,2713,2447,7604,17980,2019
"Cullman, AL Micro Area",33790,32642,29248,3394,2637,438,319,22,22,0,0,0,0,7,251,158,710,18980,2019
"Columbus, IN Metro Area",39409,37001,33253,3748,2855,576,317,129,118,0,0,0,11,65,482,279,1453,18020,2019
"Columbus, MS Micro Area",25200,23498,22171,1327,1073,171,83,3,3,0,0,0,0,60,273,212,1154,18060,2019
"Columbus, NE Micro Area",17120,15741,13779,1962,1638,175,149,17,17,0,0,0,0,31,521,167,643,18100,2019
"Columbus, OH Metro Area",1037419,931843,852801,79042,63295,9230,6517,17179,16959,118,56,38,8,3646,22805,9900,52046,18140,2019
